YEAR,MONTH,PROV_ID,PROV_N,MinRain,MaxRain,AvgRain
2018,3,48,นครพนม,34.34999847,85.98000336,48.71
2018,3,49,มุกดาหาร,32.65999985,69.93000031,54.42
2018,3,50,เชียงใหม่,2.25,26.07999992,11.46
2018,3,51,ลำพูน,1,39.38999939,16.91
2018,3,52,ลำปาง,1.799999952,44.79000092,20.17
2018,3,53,อุตรดิตถ์,3.609999895,49.13000107,23.29
2018,3,54,แพร่,11.19999981,39.50999832,23.35
2018,3,55,น่าน,22.38999939,65.26000214,35.96
2018,3,56,พะเยา,25.54000092,47.99000168,34.86
2018,3,57,เชียงราย,13.93000031,35.59000015,26.06
2018,3,58,แม่ฮ่องสอน,0,15.39999962,5.55
2018,3,60,นครสวรรค์,10.64999962,32.06999969,19.31
2018,3,61,อุทัยธานี,9.609999657,27.34000015,16.77
2018,3,62,กำแพงเพชร,10.31999969,47.79999924,30.54
2018,3,63,ตาก,0.01,63.40000153,25.21
2018,3,64,สุโขทัย,9.010000229,55.90000153,31.32
2018,3,65,พิษณุโลก,0.409999996,63.41999817,26.15
2018,3,66,พิจิตร,1.399999976,31.39999962,11.16
2018,3,67,เพชรบูรณ์,23.28000069,69.59999847,50.97
2018,3,70,ราชบุรี,23.79000092,56.49000168,43.46
2018,3,71,กาญจนบุรี,0,50.68000031,18.87
2018,3,72,สุพรรณบุรี,13.82999992,63.95000076,32.27
2018,3,73,นครปฐม,42.63000107,85.37000275,60.51
2018,3,74,สมุทรสาคร,14.22000027,73.01999664,45.99
2018,3,75,สมุทรสงคราม,11.11999989,42.11000061,25.08
2018,3,76,เพชรบุรี,16.04999924,66.09999847,36.44
2018,3,77,ประจวบคีรีขันธ์,13.30000019,63.36999893,28.56
2018,3,80,นครศรีธรรมราช,40.86000061,117.3000031,74.59
2018,3,81,กระบี่,9.619999886,114.9899979,88.16
2018,3,82,พังงา,63.31999969,139.5899963,121.35
2018,3,83,ภูเก็ต,34.16999817,132.5500031,78.3
2018,3,84,สุราษฎร์ธานี,43.02000046,139.1699982,89.69
2018,3,85,ระนอง,65.5,110.5,89.82
2018,3,86,ชุมพร,58.20999908,103.6600037,73.61
2018,3,90,สงขลา,1.450000048,45.93999863,24.29
2018,3,91,สตูล,15.31000042,38.09999847,22.85
2018,3,92,ตรัง,30.76000023,70.66999817,55.29
2018,3,93,พัทลุง,14.64000034,56,28.69
2018,3,94,ปัตตานี,36.36999893,75.26000214,43.72
2018,3,95,ยะลา,31.86000061,63.02000046,44.56
2018,3,96,นราธิวาส,46.15999985,87.98999786,67.66
2018,4,10,กรุงเทพมหานคร,149.2400055,270.2600098,209.31
2018,4,11,สมุทรปราการ,135.3999939,322.3800049,240.36
2018,4,12,นนทบุรี,124.2600021,223.7100067,186.07
2018,4,13,ปทุมธานี,143.1499939,190.2100067,178.6
2018,4,14,พระนครศรีอยุธยา,87.91000366,186.2899933,133.03
2018,4,15,อ่างทอง,79.51999664,120.4100037,101.61
2018,4,16,ลพบุรี,93.19000244,296.2799988,171.66
2018,4,17,สิงห์บุรี,70.05000305,110.9100037,92.44
2018,4,18,ชัยนาท,56.61999893,124.4400024,87.57
2018,4,19,สระบุรี,104.3700027,214.1100006,131.5
2018,4,20,ชลบุรี,174.8699951,246.4299927,211.68
2018,4,21,ระยอง,134.5800018,212.4700012,182.97
2018,4,22,จันทบุรี,195.4100037,264.8900146,217.45
2018,4,23,ตราด,219.4600067,240.9799957,226.24
2018,4,24,ฉะเชิงเทรา,179.5,280.8200073,232.95
2018,4,25,ปราจีนบุรี,149.7299957,340.2099915,250.41
2018,4,26,นครนายก,126.1699982,207.4299927,165.63
2018,4,27,สระแก้ว,101.7300034,285.6700134,195.71
2018,4,30,นครราชสีมา,72.15000153,246.2899933,141.79
2018,4,31,บุรีรัมย์,64.48000336,172.5500031,88.55
2018,4,32,สุรินทร์,49.15999985,86.97000122,64.2
2018,4,33,ศรีสะเกษ,44.5,82.55000305,58.67
2018,4,34,อุบลราชธานี,51.40000153,98.73999786,68.21
2018,4,35,ยโสธร,55.04000092,98.02999878,75
2018,4,36,ชัยภูมิ,75.41000366,241.7100067,123.11
2018,4,37,อำนาจเจริญ,53.50999832,76.58000183,67.12
2018,4,38,บึงกาฬ,103.4499969,149.6399994,125.9
2018,4,39,หนองบัวลำภู,135.1399994,177.3600006,161.05
2018,4,40,ขอนแก่น,106.1999969,206.1199951,158.88
2018,4,41,อุดรธานี,94.98999786,183,162.59
2018,4,42,เลย,102.1299973,156.2299957,129.23
2018,4,43,หนองคาย,143.6199951,171.6499939,158.42
2018,4,44,มหาสารคาม,68.70999908,188.7799988,136.79
2018,4,45,ร้อยเอ็ด,60.16999817,115.4100037,92.37
2018,4,46,กาฬสินธุ์,73.05999756,166.9199982,105.11
2018,4,47,สกลนคร,52.22000122,155.1600037,99.08
2018,4,48,นครพนม,62.49000168,142.0800018,95.44
2018,4,49,มุกดาหาร,38.00999832,77.37999725,58.13
2018,4,50,เชียงใหม่,33.24000168,165.2700043,87.65
2018,4,51,ลำพูน,41.54999924,132.9299927,107.31
2018,4,52,ลำปาง,41.09000015,192.1900024,134.78
2018,4,53,อุตรดิตถ์,38.16999817,170.7299957,106.7
2018,4,54,แพร่,97.80000305,211.3899994,159.94
2018,4,55,น่าน,82.69999695,178.8600006,139.05
2018,4,56,พะเยา,126.6399994,200.5899963,167.79
2018,4,57,เชียงราย,120.2900009,195.3800049,162.14
2018,4,58,แม่ฮ่องสอน,23.29999924,99.34999847,49.35
2018,4,60,นครสวรรค์,67.70999908,157.4700012,101.82
2018,4,61,อุทัยธานี,87.08000183,135.8099976,106.54
2018,4,62,กำแพงเพชร,39.36999893,119.2600021,93.63
2018,4,63,ตาก,17.20999908,128.2200012,52.79
2018,4,64,สุโขทัย,22,122.7300034,63.34
2018,4,65,พิษณุโลก,35.54000092,142.1600037,87.41
2018,4,66,พิจิตร,90.54000092,155.6799927,125.11
2018,4,67,เพชรบูรณ์,80.81999969,286.9299927,130.48
2018,4,70,ราชบุรี,44.61000061,146.6499939,114.74
2018,4,71,กาญจนบุรี,51.09999847,167.3899994,124.05
2018,4,72,สุพรรณบุรี,59.90999985,129.5500031,94.31
2018,4,73,นครปฐม,31.21999931,225.2400055,103.5
2018,4,74,สมุทรสาคร,130.9799957,246.9100037,186.12
2018,4,75,สมุทรสงคราม,121.9800034,138.9900055,129.57
2018,4,76,เพชรบุรี,121.5500031,198.9400024,162.2
2018,4,77,ประจวบคีรีขันธ์,124.0100021,223.7799988,174.15
2018,4,80,นครศรีธรรมราช,59.13999939,164.8300018,119.85
2018,4,81,กระบี่,99.04000092,188.4700012,118.72
2018,4,82,พังงา,91.86000061,322.5499878,227.1
2018,4,83,ภูเก็ต,62.25999832,138.1799927,98.45
2018,4,84,สุราษฎร์ธานี,111.4100037,256.4299927,180.69
2018,4,85,ระนอง,198.0099945,233.9400024,210.97
2018,4,86,ชุมพร,200.0899963,265.2999878,221.71
2018,4,90,สงขลา,41.86999893,195.5800018,103.49
2018,4,91,สตูล,91.51000214,134.9600067,112.01
2018,4,92,ตรัง,84.25,116.7900009,98.97
2018,4,93,พัทลุง,37.43000031,103.3300018,71.77
2018,4,94,ปัตตานี,81.41000366,255.7299957,142.72
2018,4,95,ยะลา,137.9499969,269.8800049,184.91
2018,4,96,นราธิวาส,84.30999756,213.8999939,126.23
2018,5,10,กรุงเทพมหานคร,73.45999908,253.9600067,130.83
2018,5,11,สมุทรปราการ,92.16999817,160.2899933,117.21
2018,5,12,นนทบุรี,117.8199997,240.8099976,177.17
2018,5,13,ปทุมธานี,166.8399963,287.8299866,221.84
2018,5,14,พระนครศรีอยุธยา,130.5899963,287.019989,196.94
2018,5,15,อ่างทอง,144.2100067,181.0800018,162.18
2018,5,16,ลพบุรี,118.5699997,242.3600006,169.84
2018,5,17,สิงห์บุรี,136.8899994,177.6799927,152.52
2018,5,18,ชัยนาท,129.0099945,185.7799988,150.84
2018,5,19,สระบุรี,133.6399994,322.9299927,216.48
2018,5,20,ชลบุรี,37.04000092,308.0799866,173.24
2018,5,21,ระยอง,101.8199997,414.75,214.85
2018,5,22,จันทบุรี,140.5599976,248.4400024,185.36
2018,5,23,ตราด,182.4799957,264.7999878,210.35
2018,5,24,ฉะเชิงเทรา,116.7900009,342.6199951,207.57
2018,5,25,ปราจีนบุรี,78.01000214,237.6999969,129.09
2018,5,26,นครนายก,85.69000244,299.4400024,175.83
2018,5,27,สระแก้ว,120.7099991,177.0099945,137.67
2018,5,30,นครราชสีมา,118.25,343.6499939,177.95
2018,5,31,บุรีรัมย์,136.4299927,212.3500061,169.1
2018,5,32,สุรินทร์,163.4600067,231.9900055,194.38
2018,5,33,ศรีสะเกษ,154,208.8600006,172.04
2018,5,34,อุบลราชธานี,164.5399933,183.0800018,171.39
2018,5,35,ยโสธร,164.9600067,214.3000031,194.95
2018,5,36,ชัยภูมิ,132.2700043,246.2899933,191.83
2018,5,37,อำนาจเจริญ,171.0399933,191.2200012,181.21
2018,5,38,บึงกาฬ,178.2299957,238.8899994,205.07
2018,5,39,หนองบัวลำภู,217.7899933,289.480011,258.42
2018,5,40,ขอนแก่น,172.1600037,253.9799957,210.61
2018,5,41,อุดรธานี,168.8200073,286.0400085,240.02
2018,5,42,เลย,114.5999985,248.5599976,215.03
2018,5,43,หนองคาย,228.5399933,264.7000122,251.04
2018,5,44,มหาสารคาม,180.6199951,232.2400055,211.04
2018,5,45,ร้อยเอ็ด,175.5399933,256.0700073,212.71
2018,5,46,กาฬสินธุ์,154.3200073,219.2100067,184.43
2018,5,47,สกลนคร,133.5899963,230.5299988,177.4
2018,5,48,นครพนม,154.6999969,195.2899933,172.47
2018,5,49,มุกดาหาร,158.5,188.8699951,177.53
2018,5,50,เชียงใหม่,184.3099976,434.5899963,255.41
2018,5,51,ลำพูน,206.4400024,265.5799866,228.43
2018,5,52,ลำปาง,179.0099945,370.7399902,238.25
2018,5,53,อุตรดิตถ์,135.8200073,280.3500061,198.83
2018,5,54,แพร่,126.0100021,238.5899963,174.48
2018,5,55,น่าน,92.20999908,253.3800049,166.8
2018,5,56,พะเยา,156.9900055,376.6099854,282.48
2018,5,57,เชียงราย,267.7000122,515.5300293,409.66
2018,5,58,แม่ฮ่องสอน,156.1999969,291.0700073,203.3
2018,5,60,นครสวรรค์,113.9000015,178.7899933,139.44
2018,5,61,อุทัยธานี,146.8300018,190.7700043,157.63
2018,5,62,กำแพงเพชร,129.5099945,207.8300018,155.86
2018,5,63,ตาก,97.73999786,281.75,198.79
2018,5,64,สุโขทัย,112.0299988,257.2600098,176.85
2018,5,65,พิษณุโลก,114.9700012,273.1600037,187.05
2018,5,66,พิจิตร,94.62000275,195.7400055,128.65
2018,5,67,เพชรบูรณ์,84.83000183,197.5599976,135.37
2018,5,70,ราชบุรี,112.75,206.9299927,137.1
2018,5,71,กาญจนบุรี,141.6999969,200.5200043,150.26
2018,5,72,สุพรรณบุรี,137.7200012,195.9799957,154.06
2018,5,73,นครปฐม,111.0400009,220.4799957,181.66
2018,5,74,สมุทรสาคร,95.55999756,130.0500031,107.69
2018,5,75,สมุทรสงคราม,108.0100021,122.5599976,112.68
2018,5,76,เพชรบุรี,57.40999985,257.7600098,137.88
2018,5,77,ประจวบคีรีขันธ์,76.70999908,260.8099976,136.7
2018,5,80,นครศรีธรรมราช,109.5400009,313.7999878,201.51
2018,5,81,กระบี่,208.8200073,296.6900024,243.17
2018,5,82,พังงา,260.7200012,438.3500061,355.87
2018,5,83,ภูเก็ต,240.6600037,331.9500122,281.34
2018,5,84,สุราษฎร์ธานี,122.25,368.3599854,231.31
2018,5,85,ระนอง,140.1399994,470.9100037,320.18
2018,5,86,ชุมพร,82.5,446.480011,197.6
2018,5,90,สงขลา,135.4799957,249.8800049,191.18
2018,5,91,สตูล,211.2100067,310.2099915,255.64
2018,5,92,ตรัง,209.3200073,264.7900085,247.33
2018,5,93,พัทลุง,134.7299957,237.5,177.95
2018,5,94,ปัตตานี,70.02999878,220.1900024,169.86
2018,5,95,ยะลา,57.61000061,182.1499939,136.5
2018,5,96,นราธิวาส,109.3600006,247.8899994,199.46
2018,6,10,กรุงเทพมหานคร,92.16999817,171.7899933,121.81
2018,6,11,สมุทรปราการ,91.16000366,166.7700043,109.93
2018,6,12,นนทบุรี,77.80000305,135.1699982,112.37
2018,6,13,ปทุมธานี,77.12000275,116.1399994,97.62
2018,6,14,พระนครศรีอยุธยา,68.19999695,107.2799988,87.83
2018,6,15,อ่างทอง,67.52999878,102.7900009,82.61
2018,6,16,ลพบุรี,78.80000305,151.3899994,119.12
2018,6,17,สิงห์บุรี,87.55000305,132.5299988,109.37
2018,6,18,ชัยนาท,106.3799973,141.7899933,130.24
2018,6,19,สระบุรี,82.93000031,140.9199982,112.29
2018,6,20,ชลบุรี,64.13999939,194.4100037,108.47
2018,6,21,ระยอง,68.06999969,374.1600037,170.93
2018,6,22,จันทบุรี,194.4600067,536.2000122,410.68
2018,6,23,ตราด,476.5599976,708,526.32
2018,6,24,ฉะเชิงเทรา,92.68000031,264.7900085,142.01
2018,6,25,ปราจีนบุรี,139.5599976,208.1799927,185.51
2018,6,26,นครนายก,108.5599976,199.2299957,147.42
2018,6,27,สระแก้ว,108.7900009,276.0400085,161.38
2018,6,30,นครราชสีมา,74.33999634,169.1499939,104.36
2018,6,31,บุรีรัมย์,47.84000015,141.2899933,90.26
2018,6,32,สุรินทร์,59.99000168,171.7200012,132.92
2018,6,33,ศรีสะเกษ,96.11000061,277.6300049,163.55
2018,6,34,อุบลราชธานี,153.8399963,352.7900085,280.2
2018,6,35,ยโสธร,141.8999939,267.3800049,194.54
2018,6,36,ชัยภูมิ,94.20999908,177.5200043,124.11
2018,6,37,อำนาจเจริญ,202.5599976,303.7200012,253
2018,6,38,บึงกาฬ,240.8899994,324.4400024,295.26
2018,6,39,หนองบัวลำภู,145.9400024,204.7200012,172.17
2018,6,40,ขอนแก่น,112.7699966,220.6300049,168.28
2018,6,41,อุดรธานี,153,315.2799988,240.71
2018,6,42,เลย,135.0500031,190.9900055,155.18
2018,6,43,หนองคาย,187.1499939,270.3900146,235.6
2018,6,44,มหาสารคาม,87.20999908,174.9700012,145.38
2018,6,45,ร้อยเอ็ด,109,233.3099976,155.17
2018,6,46,กาฬสินธุ์,153.5599976,260.0700073,196.22
2018,6,47,สกลนคร,232.7400055,334.7099915,280.54
2018,6,48,นครพนม,285.3200073,471.1199951,329.77
2018,6,49,มุกดาหาร,223.0099945,301.4700012,273.09
2018,6,50,เชียงใหม่,99.75,305.7399902,187.69
2018,6,51,ลำพูน,86.41999817,199.5,142.14
